Model,GM,Top plan geometry side count (X1),Bottom plan geometry side count (X2),Top and Bottom plan orientation (X3),Number of stories (X4),Floor height (X5),Vertical transformation method (X6),Tapering (X7),Twisting Angle (X8),Curvilinear; location of control floor (X9),Curvilinear; scale of control floor (X10),TotalGrossArea,AspectRatio,TotalFacadeArea,DiagridAngleBottom,DiagridAngleTop,DiagridAngleAvg,TotalMass, Mean Squared Error, Scale Factor, 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor,Overall_Max_Acc,Acc_X,Acc_Y,Acc_Time,Acc_Floor,Max_Displacement,Displacement_X,Displacement_Y,Disp_Time,Disp_Story,Overall_Max_Drift,Drift_X,Drift_Y,Drift_Time,Drift_Floor,Max_Stress_Tension_diagrid,Stress_Tens_Time_diagrid,Stress_Tens_Story_diagrid,Max_Stress_Compression_diagrid,Stress_Comp_Time_diagrid,Stress_Comp_Story_diagrid,Max_Shear_diagrid,Shear_Time_diagrid,Shear_Story_diagrid,Max_Von_Mises_diagrid,VM_Time_diagrid,VM_Story_diagrid,Total_Max_Stress_Tension_tot,Total_Stress_Tens_Time_tot,Total_Stress_Tens_Story_tot,Total_Max_Stress_Compression_tot,Total_Stress_Comp_Time_tot,Total_Stress_Comp_Story_tot,Total_Max_Shear_tot,Total_Shear_Time_tot,Total_Shear_Story_tot,Total_Max_Von_Mises_tot,Total_VM_Time_tot,Total_VM_Story_tot,Overall_Max_Torsion,Torsion_Time,Torsion_Floor,Diagrid_Max_Magnitude_R,Diagrid_Ry_Value,Diagrid_Rz_Value,Diagrid_Max_Time_R,Diagrid_Max_Magnitude_M,Diagrid_My_Value,Diagrid_Mz_Value,Diagrid_Max_Time_M,Core_Max_Magnitude_R,Core_Ry_Value,Core_Rz_Value,Core_Max_Time_R,Core_Max_Magnitude_M,Core_My_Value,Core_Mz_Value,Core_Max_Time_M,Total_Max_Magnitude_R,Total_Ry_Value,Total_Rz_Value,Total_Diagrid_R_Contrib_Value,Total_Core_R_Contrib_Value,Total_Max_Time_R,Total_Max_Magnitude_M,Total_My_Value,Total_Mz_Value,Total_Diagrid_M_Contrib_Value,Total_Core_M_Contrib_Value,Total_Max_Time_M,Cost of structure,Cost of floor,Cost of Land,Total costs,Total costs/TGA,selleble price,EC Steel1,EC Steel2,EC Steel3,EC floor1,EC floor2,"EC total steel1, floor1","EC total steel2, floor1","EC total steel3, floor1","EC total steel1, floor2","EC total steel2, floor2","EC total steel3, floor2","EC GIA (Steel1, floor 1)","EC GIA (Steel2, floor 1)","EC GIA (Steel3, floor 1)","EC GIA (Steel1, floor 2)","EC GIA (Steel2, floor 2)","EC GIA (Steel3, floor 2)"
1,1,12,11,0,60,4,1,,30,,,90011.63043,5.555875,33235.27253,67.736075,72.554825,70.14545,26600000,0.6007,0.6821,14.7,29,0.1,6.19, strike slip,17.64,17.64,408.93,0.125,0.7636,0.68351,0.22049,0.64697,18.11,60,0.095348,0.0016703,0.095333,19.43,60,0.0022708,0.00017001,0.0022644,19.44,57,94302000,19.44,49,-95143000,18.1,48,4607300,19.46,59,95163000,18.1,48,118570000,16.75,0,-121910000,16.73,0,4607300,19.46,59,121930000,16.73,0,0.00013388,5.78,59,863430000,11471000,863350000,20.9,16941000,16797000,-2207300,12.68,680070000,1985800,680070000,20.73,7983600000,7983600000,35005000,19.34,1543500000,13573000,1543400000,55.9404,44.0609,20.89,7980800000,7980700000,37774000,0.0365,100.024,22.01,102144000,6750872.282,750000,108894872.3,1209.786688,9001163.043,42307300,10586800,1917860,7344985.745,4473055.029,49652285.75,17931785.75,9262845.745,46780355.03,15059855.03,6390915.029,551.6207795,199.2163197,102.9072099,519.7145614,167.3101016,71.00099174
1,2,12,11,0,60,4,1,,30,,,90011.63043,5.555875,33235.27253,67.736075,72.554825,70.14545,26600000,0.2348,0.3388,10.6,16.8,1,6.61, Reverse,19.33,22.63,450.28,0.375,0.3792,1.5903,-1.5619,0.29929,2.62,26,0.066412,-0.034259,-0.056893,1.57,59,0.0023625,-0.0013055,-0.001969,1.64,57,95553000,1.66,48,-101230000,1.66,48,4675800,1.68,59,101250000,1.66,48,118620000,2.58,0,-122050000,2.57,0,4675800,1.68,59,122050000,2.57,0,0.00013389,2.73,59,863510000,16559000,863350000,1.22,29104000,-29020000,-2206500,2.57,680070000,2959500,680070000,1.22,7927100000,7927000000,43905000,2.67,1543500000,19518000,1543400000,55.9435,44.0592,1.22,7937200000,7937100000,34164000,0.1502,99.8525,2.7,102144000,6750872.282,750000,108894872.3,1209.786688,9001163.043,42307300,10586800,1917860,7344985.745,4473055.029,49652285.75,17931785.75,9262845.745,46780355.03,15059855.03,6390915.029,551.6207795,199.2163197,102.9072099,519.7145614,167.3101016,71.00099174
1,3,12,11,0,60,4,1,,30,,,90011.63043,5.555875,33235.27253,67.736075,72.554825,70.14545,26600000,0.2005,0.2305,5.4,15.4,0.9,6.6, Normal Oblique,10.27,10.27,361.4,0.25,0.258,1.1086,0.84758,0.71449,7.36,60,0.097866,-0.0525,-0.082592,7.32,59,0.0025252,-0.0013222,-0.0021514,7.34,57,93307000,8.45,49,-97878000,7.41,48,4624100,7.44,59,97897000,7.41,48,119400000,11.45,0,-121580000,8.55,0,4624100,7.44,59,121600000,8.55,0,0.0001339,4.36,59,863440000,12213000,863350000,6.92,23352000,23248000,-2207300,4.57,680070000,2011700,680070000,4.19,7988800000,7988600000,44007000,8.6,1543500000,14408000,1543400000,55.9408,44.0606,6.92,7980300000,7980200000,37859000,0.0498,100.0415,8.43,102144000,6750872.282,750000,108894872.3,1209.786688,9001163.043,42307300,10586800,1917860,7344985.745,4473055.029,49652285.75,17931785.75,9262845.745,46780355.03,15059855.03,6390915.029,551.6207795,199.2163197,102.9072099,519.7145614,167.3101016,71.00099174
1,4,12,11,0,60,4,1,,30,,,90011.63043,5.555875,33235.27253,67.736075,72.554825,70.14545,26600000,0.3823,0.3124,3.8,10.9,0.4,6.36, Reverse,24.83,26.38,381.27,0.2875,0.3497,1.5335,-0.85128,-1.2755,8.04,60,0.10502,0.0853,0.061267,8.08,59,0.0028774,0.0021208,0.0019447,8.11,57,97617000,8.2,42,-99681000,9.56,48,4658800,9.57,59,99699000,9.56,48,119820000,7.91,0,-123470000,7.88,0,4658800,9.57,59,123490000,7.88,0,0.00013389,8.32,59,863430000,-11646000,863350000,7.59,32042000,31966000,-2207600,9.12,680070000,1968500,680070000,7.26,8017700000,8017700000,10605000,8.03,1543500000,-13767000,1543400000,55.9406,44.0607,7.58,8023700000,8023700000,13223000,0.0795,99.9254,8.02,102144000,6750872.282,750000,108894872.3,1209.786688,9001163.043,42307300,10586800,1917860,7344985.745,4473055.029,49652285.75,17931785.75,9262845.745,46780355.03,15059855.03,6390915.029,551.6207795,199.2163197,102.9072099,519.7145614,167.3101016,71.00099174
1,5,12,11,0,60,4,1,,30,,,90011.63043,5.555875,33235.27253,67.736075,72.554825,70.14545,26600000,0.3757,2.3281,4.4,11.6,0,6.1, Normal,26.75,29.2,454.56,0.75,2.6062,1.7811,1.3456,1.1669,7.79,60,0.045909,0.041907,0.018747,8.18,59,0.0017255,-0.0017184,-0.00015642,8.7,57,95687000,8.14,49,-99042000,7.76,48,4669300,10.41,59,99061000,7.76,48,117510000,9.68,0,-121710000,7.68,0,4669300,10.41,59,121730000,7.68,0,0.00013391,8.14,59,863480000,-14890000,863360000,7.67,41602000,41544000,-2206700,8.25,680070000,-2688900,680070000,7.67,7903300000,7903200000,23578000,7.14,1543500000,-17579000,1543400000,55.9424,44.0598,7.67,7934400000,7934400000,1109900,0.5071,99.4937,8.23,102144000,6750872.282,750000,108894872.3,1209.786688,9001163.043,42307300,10586800,1917860,7344985.745,4473055.029,49652285.75,17931785.75,9262845.745,46780355.03,15059855.03,6390915.029,551.6207795,199.2163197,102.9072099,519.7145614,167.3101016,71.00099174
1,6,12,11,0,60,4,1,,30,,,90011.63043,5.555875,33235.27253,67.736075,72.554825,70.14545,26600000,0.1168,0.5106,6,11,0.5,6.69, Reverse,17.81,18.5,411.55,0.375,0.5716,1.3716,-0.88706,1.0461,4.2,31,0.040393,-0.033678,-0.022303,17.25,59,0.0013075,-0.00078123,0.0010484,4.82,57,91333000,4.84,49,-94415000,4.5,48,4592700,4.85,59,94433000,4.5,48,116820000,15.96,0,-119600000,4.39,0,4592700,4.85,59,119600000,4.39,0,0.00013391,4.81,59,863430000,-11117000,863350000,4.45,29378000,29295000,-2206700,5.32,680070000,1614600,680070000,4.12,7906900000,7906900000,19382000,18.29,1543500000,-13048000,1543400000,55.9404,44.0608,4.45,7921300000,7921300000,19222000,0.3421,99.6591,5.3,102144000,6750872.282,750000,108894872.3,1209.786688,9001163.043,42307300,10586800,1917860,7344985.745,4473055.029,49652285.75,17931785.75,9262845.745,46780355.03,15059855.03,6390915.029,551.6207795,199.2163197,102.9072099,519.7145614,167.3101016,71.00099174
1,7,12,11,0,60,4,1,,30,,,90011.63043,5.555875,33235.27253,67.736075,72.554825,70.14545,26600000,0.0933,0.9772,4.7,13.8,0.1,5.61, Reverse,23.67,25.69,365.22,0.2,1.094,1.6489,1.6485,0.035581,7.5,60,0.054416,-0.032533,-0.043621,7.75,59,0.0015121,-0.00083,-0.001264,7.76,57,90006000,8.95,49,-95399000,7.72,48,4597300,7.71,59,95419000,7.72,48,117470000,9.06,0,-120190000,9.26,0,4597300,7.71,59,120210000,9.26,0,0.00013389,7.52,59,863430000,11287000,863350000,7.28,25819000,25724000,-2205900,7.19,680070000,1602200,680070000,7.41,7920900000,7920900000,29109000,9.12,1543500000,13332000,1543400000,55.9403,44.0609,7.28,7930200000,7930200000,20009000,0.1517,99.8509,9.15,102144000,6750872.282,750000,108894872.3,1209.786688,9001163.043,42307300,10586800,1917860,7344985.745,4473055.029,49652285.75,17931785.75,9262845.745,46780355.03,15059855.03,6390915.029,551.6207795,199.2163197,102.9072099,519.7145614,167.3101016,71.00099174
2,1,3,4,0,56,4,2,,,0.75,0.85,87743.1429,4.394628,35579.33238,51.326057,61.488046,56.407052,27600000,0.6007,0.6821,14.7,29,0.1,6.19, strike slip,17.64,17.64,408.93,0.125,0.7636,0.66636,0.1859,-0.6399,19.3,56,0.085282,-0.020324,0.082825,19.4,56,0.0025561,-0.0007381,0.0024472,19.41,53,113870000,20.86,0,-93582000,18.02,32,10948000,17.8,0,114420000,20.86,0,114140000,19.48,0,-124780000,19.51,0,10948000,17.8,0,124880000,19.51,0,7.5833e-05,19.48,53,795000000,3095100,794990000,28.54,34285000,-34270000,-1022900,20.97,330360000,676550,330360000,17.59,265690000,-265690000,616170,20.8,1124800000,10692000,1124700000,70.6623,29.3388,20.74,298620000,-298620000,-433460,11.1712,88.8341,20.85,105984000,6580735.718,750000,112564735.7,1282.889261,8774314.29,43897800,10984800,1989960,7159876.238,4360324.38,51057676.24,18144676.24,9149836.238,48258124.38,15345124.38,6350284.38,581.899332,206.7930967,104.2797868,549.9931138,174.8868786,72.37356869
2,2,3,4,0,56,4,2,,,0.75,0.85,87743.1429,4.394628,35579.33238,51.326057,61.488046,56.407052,27600000,0.2348,0.3388,10.6,16.8,1,6.61, Reverse,19.33,22.63,450.28,0.375,0.3792,1.617,-1.5263,0.53393,2.63,27,0.05743,-0.044403,-0.036421,1.54,56,0.0023381,-0.0016007,-0.0017042,1.61,50,109770000,2.58,0,-97136000,1.62,36,11101000,1.23,0,110300000,2.58,0,111140000,2.37,0,-121730000,2.7,0,11101000,1.23,0,121830000,2.7,0,7.6079e-05,2.16,53,794860000,15980000,794700000,1.22,28226000,-28205000,-1076100,2.57,330100000,-540000,330100000,1.57,233490000,-233490000,401390,1.34,1124800000,17115000,1124700000,70.6645,29.3384,1.22,245510000,-245510000,-400880,5.2878,94.7276,1.31,105984000,6580735.718,750000,112564735.7,1282.889261,8774314.29,43897800,10984800,1989960,7159876.238,4360324.38,51057676.24,18144676.24,9149836.238,48258124.38,15345124.38,6350284.38,581.899332,206.7930967,104.2797868,549.9931138,174.8868786,72.37356869
2,3,3,4,0,56,4,2,,,0.75,0.85,87743.1429,4.394628,35579.33238,51.326057,61.488046,56.407052,27600000,0.2005,0.2305,5.4,15.4,0.9,6.6, Normal Oblique,10.27,10.27,361.4,0.25,0.258,1.1169,0.56832,-0.96147,4.14,56,0.084384,-0.059878,-0.059458,7.31,56,0.0025861,-0.0016767,-0.0019689,7.31,50,114140000,7.45,0,-96379000,7.33,32,11006000,4.17,0,114720000,7.45,0,114140000,7.45,0,-124100000,8.42,0,11006000,4.17,0,124200000,8.43,0,7.6079e-05,4.33,53,795050000,1261900,795050000,11.6,43961000,-43949000,-1027200,7.44,330310000,620160,330310000,12.63,259280000,-259280000,564300,7.41,1124800000,11923000,1124700000,70.6433,29.3581,4.2,303060000,-303060000,-477520,14.4853,85.5187,7.43,105984000,6580735.718,750000,112564735.7,1282.889261,8774314.29,43897800,10984800,1989960,7159876.238,4360324.38,51057676.24,18144676.24,9149836.238,48258124.38,15345124.38,6350284.38,581.899332,206.7930967,104.2797868,549.9931138,174.8868786,72.37356869
